time,strategy,identifier,symbol,side,type,status,multiplier,time_in_force,asset.strike,asset.multiplier,asset.asset_type,price,filled_quantity,trade_cost
2020-02-03 09:30:00-05:00,MLTrader,57792282d3804964a691c0598409ae3d,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-02-03 09:30:00-05:00,MLTrader,57792282d3804964a691c0598409ae3d,SPY,buy,market,fill,1,gtc,0.0,1,stock,323.3500061035156,155.0,0.0
2020-02-04 09:30:00-05:00,MLTrader,ff21ba52513744afa297da8f789e926f,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2020-02-04 09:30:00-05:00,MLTrader,dd5766fd6bff45ecb4984da8e88db24e,SPY,sell,stop,fill,1,day,0.0,1,stock,328.07000732421875,155.0,0.0
2020-02-10 09:30:00-05:00,MLTrader,4d7169577e144bbdb2f3ebd0ff571161,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-02-10 09:30:00-05:00,MLTrader,4d7169577e144bbdb2f3ebd0ff571161,SPY,buy,market,fill,1,gtc,0.0,1,stock,331.2300109863281,152.0,0.0
2020-02-11 09:30:00-05:00,MLTrader,8a0d8806c9d947859a8f9ee6dd687e59,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
2020-02-11 09:30:00-05:00,MLTrader,013357dde0444e03b61d293198b169e5,SPY,sell,stop,fill,1,day,0.0,1,stock,336.1600036621094,152.0,0.0
2020-02-13 09:30:00-05:00,MLTrader,6c1fd076886047d9b02e9a18b51a32cf,SPY,buy,market,new,1,gtc,0.0,1,stock,,,
2020-02-13 09:30:00-05:00,MLTrader,6c1fd076886047d9b02e9a18b51a32cf,SPY,buy,market,fill,1,gtc,0.0,1,stock,335.8599853515625,151.0,0.0
2020-02-14 09:30:00-05:00,MLTrader,8ff55ac1d1894e7a99f6b9b1cd777df9,SPY,sell,limit,canceled,1,day,0.0,1,stock,,,
